Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage
UP000232502	aichivirus F1	2758106	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Kobuvirus, Kobuvirus femyomini
UP000232504	Wheat dwarf virus	10834	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus hordei
UP000232506	Sugarcane streak Reunion virus	78395	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus saccharumbourbonense
UP000232509	Wheat dwarf virus	10834	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus hordei
UP000232512	East African cassava mosaic virus	62079	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus manihotisafricaense
UP000232520	Ludwigia yellow vein Vietnam virus	390444	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus ludwigiavietnamense
UP000232522	California sea lion bocavirus 1	1073959	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Bocaparvovirus, Bocaparvovirus pinniped1
UP000232527	Honeysuckle yellow vein virus	240865	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus macrotylomae
UP000232529	Ceratobium mosaic virus	66702	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus ceratobii
UP000232530	Sida micrantha mosaic virus - Rhombifolia [Bolivia:Cerro Fraile 2:2007]	932068	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidamicranthae, Sida micrantha mosaic virus
UP000232539	California sea lion bocavirus 3	1073961	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Bocaparvovirus, Bocaparvovirus pinniped2
UP000232543	Digitaria ciliaris striate mosaic virus	1196237	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus ciliaris
UP000232546	Carrot virus Y	114923	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus carotae
UP000232548	Honeysuckle yellow vein virus	240865	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus macrotylomae
UP000232552	Ugandan cassava brown streak virus	946046	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Ipomovirus, Ipomovirus manihotis
UP000232556	Tomato leaf curl New Delhi virus 2	2050583	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumdelhisecundi
UP000232557	Papaya leaf curl virus	53260	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus caricae
UP000232565	Araujia mosaic virus	454757	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus araujiae
UP000232567	Sida yellow leaf curl virus	536083	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidaflavacontorsionis
UP000232572	Panicum streak virus	10826	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus panici
UP000232573	Potyvirus angelicae	436007	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus
UP000232578	Potyvirus almeidi	429130	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus
UP000232581	Tomato leaf curl Bangalore virus - [India:Kerala II:2005]	407832	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumbangalorense, Tomato leaf curl Bangalore virus
UP000232592	Carnation vein mottle virus	82847	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus dianthi
UP000232598	Tomato leaf curl Sudan virus	270146	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumsudanense
UP000232599	Eupatorium yellow vein virus-[Japan:Kagawa:Tomato:1997]	519350	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus eupatorii, Eupatorium yellow vein virus
UP000232610	Pepper leaf curl Lahore virus	884610	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus capsicumlahorense
UP000232614	Ageratum yellow vein virus	44560	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus ageravenae
UP000232617	Chickpea chlorosis virus-C	1162554	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus cicerosis, Chickpea chlorosis virus
UP000232622	Dolichos yellow mosaic virus	333968	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus dolichoris
UP000232630	Papaya leaf curl virus	53260	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus caricae
UP000232632	Okra leaf curl Mali virus	454129	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus gossypigeziraense, Cotton leaf curl Gezira virus
UP000232635	Tomato Chino La Paz virus -SLP 4	1127768	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumlapazense, Tomato chino La Paz virus
UP000232650	Tomato yellow leaf curl Thailand virus	85752	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumflavusthailandense
UP000232651	Nilaparvata lugens honeydew virus 1	1267585	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Iflaviridae, Iflavirus, Iflavirus nilalugentis
UP000232660	Tomato leaf curl Bangalore virus	220608	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumbangalorense
UP000232663	Ageratum yellow vein virus-[Tomato]	263002	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus ageravenae, Ageratum yellow vein virus
UP000232674	Chrysochromulina brevifilum virus PW1 (CbV-PW1)	352209	1		Unknown	Viruses, Varidnaviria, Bamfordvirae, Nucleocytoviricota, Megaviricetes, Algavirales, Phycodnaviridae, Prymnesiovirus, Prymnesiovirus brevifilum
UP000232678	Panicum streak virus	10826	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus panici
UP000232686	Sida golden mosaic Braco virus-[Jamaica:Liguanea:2008]	929767	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidaureibracoense, Sida golden mosaic Braco virus
UP000232692	Carajas virus	239239	5		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Vesiculovirus, Vesiculovirus carajas
UP000232694	Sida golden mosaic Lara virus	1002681	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidaureilaraense
UP000232698	Rhopalanthe virus Y	104392	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus rhopalanthi
UP000232700	Squash leaf curl China virus-[Wax Gourd:Nakhon Pathom]	512414	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus cucurbitachinaense, Squash leaf curl China virus
UP000232706	Panicum streak virus	10826	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus panici
UP000232714	Piry virus (PIRYV)	11274	5		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Vesiculovirus, Vesiculovirus piry
UP000232716	Chilli leaf curl virus	172278	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus chillicapsici
UP000232719	Tomato leaf curl virus	28350	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumaustraliaense
UP000232725	Pepper leaf curl virus	83839	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus capsici
UP000232726	Lycoris mild mottle virus	186187	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus lycorsis
UP000232742	Passiflora chlorosis virus	551003	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus passifloraflavi
UP000232745	Panicum streak virus	10826	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus panici
UP000232746	Honeysuckle yellow vein virus-[Japan:Masuda:2003]	435489	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus macrotylomae, Honeysuckle yellow vein virus
UP000232752	Paspalum striate mosaic virus	1072672	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus paspali
UP000232760	Sida ciliaris golden mosaic virus	1264880	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidaciliaris
UP000232772	Spiranthes mosaic virus 3	290031	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus spiranthesis
UP000232779	Potyvirus alstromeriae	260374	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus
UP000232780	Clitoria virus Y	114891	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus clitoriae
UP000232788	Pleione virus Y	104390	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus yipleionis
UP000232804	Tomato leaf curl virus	28350	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumaustraliaense
UP000232808	Zucchini shoestring virus	1679239	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus peporesticulae
UP000232811	Honeysuckle yellow vein virus	240865	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus macrotylomae
UP000232816	Ageratum yellow vein virus	44560	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus ageravenae
UP000232817	Hibbertia virus Y	114892	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus hibbertiae
UP000232825	Lygus lineolaris virus 1	1072333	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Iflaviridae, Iflavirus, Iflavirus lylineolaris
UP000232827	Bhendi yellow vein mosaic virus	120168	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus abelmoschusflavi
UP000232835	Chinese artichoke mosaic virus	218282	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus artichokis
UP000232843	Longquan virus	1283294	3		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Hantaviridae, Mammantavirinae, Loanvirus, Loanvirus longquanense
UP000232844	Sunflower mosaic virus	185017	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus helitessellati
UP000232846	Tomato leaf curl Sudan virus	270146	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumsudanense
UP000232867	mischivirus B1	2003500	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Mischivirus, Mischivirus beminio, Mischivirus B
UP000232868	Papaya leaf curl virus	53260	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus caricae
UP000232869	Jatropha curcas mosaic virus-[Jalgaon]	1027399	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus manihotisindianense, Indian cassava mosaic virus, Jatropha curcas mosaic virus
UP000232885	Tomato leaf curl Hainan virus	664980	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumhainanense
UP000232906	Vigna yellow mosaic virus	1312724	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus vignae
UP000232909	Sida common mosaic virus	536082	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidavulgaris
UP000232914	Papaya leaf curl virus	53260	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus caricae
UP000232915	Watermelon leaf mottle virus	70134	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus citrullufolimaculae
UP000232919	Pomona bat hepatitis B virus	2049933	4		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Blubervirales, Hepadnaviridae, Orthohepadnavirus, Orthohepadnavirus pomi
UP000232921	Cotton leaf curl Alabad virus	222456	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus gossypialabadense
UP000232933	Vesiculovirus radi	1972566	5		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Vesiculovirus
UP000232939	Tomato leaf curl Java virus-[Ageratum]	263577	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumjavaense, Tomato leaf curl Java virus
UP000232940	West African Asystasia virus 2	1046574	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus asystasiasecundi
UP000232944	Cotton leaf curl Gezira virus	222459	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus gossypigeziraense
UP000232948	Tomato leaf curl Taiwan virus	196093	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumtaiwanense
UP000232955	Cotton leaf curl Multan virus-[Hibiscus rosa-sinensis]	1143709	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus gossypimultanense, Cotton leaf curl Multan virus
UP000232959	Zucchini yellow fleck virus	390849	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus pepo
UP000232963	Panicum streak virus	10826	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus panici
UP000232964	Pepper leaf curl Bangladesh virus	223305	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus capsicumbangladeschense
UP000232965	Euphorbia ringspot virus	291286	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus euphorbiae
UP000232980	Muscina stabulans sigmavirus	1002362	1		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Sigmavirus, Sigmavirus muscina
UP000233040	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	2715852	40117	C:94.3%[S:56.4%,D:37.8%],F:0.9%,M:4.9%,n:13780	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Platyrrhini, Cebidae, Cebinae, Cebus
UP000234834	Rhynchosia rugose golden mosaic virus-[Cuba:Camaguey:171:2009]	889203	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus rhynchosiarugosi, Rhynchosia rugose golden mosaic virus
UP000234850	Indian cassava mosaic virus (ICMV)	31600	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus manihotisindianense
UP000234886	Rhynchosia golden mosaic Sinaloa virus	1513519	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus rhynchosiasinaloaense
UP000234909	Cucurbit mild mosaic virus	1131416	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Fabavirus, Fabavirus cucurbitaceae
UP000235008	Rhynchosia golden mosaic Havana virus-[Cuba:Havana:28:2007]	889202	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus rhynchosiahavanaense, Rhynchosia golden mosaic Havana virus
UP000235011	Jacquemontia mosaic Yucatan virus	1198450	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus jacquemontiayucatanense
UP000235030	Mulberry mosaic leaf roll associated virus	1527441	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Nepovirus mori
UP000235053	Cabbage leaf curl virus (isolate Jamaica) (CaLCuV)	345184	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus brassicajamaicaense
UP000235090	Bean golden yellow mosaic virus	220340	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus birdi
UP000235131	Cotton chlorotic spot virus	1396815	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus gossypimaculae
UP000235555	passerivirus B1	2870401	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Passerivirus, Passerivirus bewaxi, Passerivirus B
UP000237331	Rat parvovirus 1	74581	2		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Protoparvovirus, Protoparvovirus rodent2
UP000240162	Saffron latent virus	2070152	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus croci
UP000240182	Sophora alopecuroides yellow stunt alphasatellite 4	1980165	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Nanoalphasatellitinae, Mivedwarsatellite, Mivedwarsatellite sophalope
UP000240229	Hollyhock leaf curl virus	163655	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus alceae
UP000240238	megrivirus E1	2079598	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Kodimesavirinae, Megrivirus, Megrivirus epengu, Megrivirus E
UP000240256	Whitefly associated Guatemala alphasatellite 1	2560838	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Whiflysatellite, Whiflysatellite guatemalaense
UP000240269	Papaya leaf curl virus	53260	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus caricae
UP000240279	Tomato yellow leaf curl Thailand alphasatellite	2169845	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Colecusatellite, Colecusatellite solanumflavusthailandense
UP000240296	Vernonia yellow vein Fujian alphasatellite	2169908	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Gosmusatellite, Gosmusatellite vernoniafujianense
UP000240333	Chickpea chlorotic dwarf virus	463360	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus cicerparvi
UP000240362	Chickpea chlorotic dwarf virus	463360	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus cicerparvi
UP000240387	Clerodendrum golden mosaic China virus	559878	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus clerodendrumchinaense
UP000240443	Tomato leaf curl Toliara virus	439427	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumtoliaraense
UP000240444	Begomovirus agerati	188333	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus
UP000240462	Euphorbia mosaic Peru virus	2169733	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus euphorbiaperuense
UP000240491	Desmodium mottle virus	1960710	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus desmodii
UP000240494	Butterfly flower mosaic virus	456390	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus schizanthi
UP000240523	Canine minute virus	329639	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Bocaparvovirus, Bocaparvovirus carnivoran1
UP000240547	Polygala garcinii associated virus	2093274	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus polygalae
UP000240556	Chilli leaf curl alphasatellite	1428342	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Colecusatellite, Colecusatellite capsici
UP000240557	Croton yellow vein mosaic virus	207697	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus crotoflavi
