order	domain	upid	taxid	organism	busco_C	cpd	protein_count	n_candidates	gene2acc_url
Kineosporiales	Bacteria	UP001596189	658456	Angustibacter luteus	99.7	Unknown	3927	21	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001596189/UP001596189_658456.gene2acc.gz
Kiritimatiellales	Bacteria	UP001290861	3038953	Pontiella agarivorans	87.1	Unknown	3565	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001290861/UP001290861_3038953.gene2acc.gz
Kitasatosporales	Bacteria	UP000235464	1079985	Streptomyces chartreusis NRRL 3882	100.0	Unknown	7905	827	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000235464/UP000235464_1079985.gene2acc.gz
Koleobacterales	Bacteria	UP000662904	2751313	Koleobacter methoxysyntrophicus	97.6	Unknown	2925	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000662904/UP000662904_2751313.gene2acc.gz
Kolteriales	Bacteria	UP000317093	2527975	Kolteria novifilia	96.8	Unknown	5710	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000317093/UP000317093_2527975.gene2acc.gz
Kordiimonadales	Bacteria	UP000271227	911205	Eilatimonas milleporae	99.3	Unknown	3747	7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000271227/UP000271227_911205.gene2acc.gz
Kosmotogales	Bacteria	UP000002382	521045	Kosmotoga olearia (strain ATCC BAA-1733 / DSM 21960 / TBF 19.5.1)	91.9	Unknown	2087	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002382/UP000002382_521045.gene2acc.gz
Ktedonobacterales	Bacteria	UP000248806	644383	Thermosporothrix hazakensis	95.9	Unknown	6382	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000248806/UP000248806_644383.gene2acc.gz
Lachnospirales	Bacteria	UP000634672	2763050	Hungatella hominis	100.0	Unknown	6256	256	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000634672/UP000634672_2763050.gene2acc.gz
Lactobacillales	Bacteria	UP000238378	1589	Lactiplantibacillus pentosus (Lactobacillus pentosus)	100.0	Unknown	3666	700	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000238378/UP000238378_1589.gene2acc.gz
Legionellales	Bacteria	UP000044071	1034943	Legionella massiliensis	100.0	Unknown	3750	71	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000044071/UP000044071_1034943.gene2acc.gz
Lentisphaerales	Bacteria	UP000004947	313628	Lentisphaera araneosa HTCC2155	85.5	Unknown	4982	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000004947/UP000004947_313628.gene2acc.gz
Leptolyngbyales	Bacteria	UP001464891	2933944	Trichocoleus desertorum GB2-A4	100.0	Unknown	5705	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001464891/UP001464891_2933944.gene2acc.gz
Leptospirales	Bacteria	UP000297422	2202203	Leptospira stimsonii	100.0	Unknown	4482	76	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000297422/UP000297422_2202203.gene2acc.gz
Limisphaerales	Bacteria	UP000477311	1324935	Limisphaera ngatamarikiensis	94.7	Unknown	2810	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000477311/UP000477311_1324935.gene2acc.gz
Limnochordales	Bacteria	UP000065807	1555112	Limnochorda pilosa	81.2	Unknown	3599	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000065807/UP000065807_1555112.gene2acc.gz
Longimicrobiales	Bacteria	UP000582837	1639882	Longimicrobium terrae	91.9	Unknown	5723	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000582837/UP000582837_1639882.gene2acc.gz
Lutisporales	Bacteria	UP001651880	3024236	Lutispora saccharofermentans	99.2	Unknown	3908	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001651880/UP001651880_3024236.gene2acc.gz
Lysobacterales	Bacteria	UP001430647	2912242	Xanthomonas indica	100.0	Unknown	3998	308	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001430647/UP001430647_2912242.gene2acc.gz
Magnetococcales	Bacteria	UP000002586	156889	Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1)	98.6	Unknown	3594	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002586/UP000002586_156889.gene2acc.gz
Mahellales	Bacteria	UP000008457	697281	Mahella australiensis (strain DSM 15567 / CIP 107919 / 50-1 BON)	97.9	Unknown	2858	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000008457/UP000008457_697281.gene2acc.gz
Maricaulales	Bacteria	UP000199759	144026	Maricaulis salignorans	99.3	Unknown	2949	21	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199759/UP000199759_144026.gene2acc.gz
Marinilabiliales	Bacteria	UP000283387	1261403	Mangrovibacterium diazotrophicum	99.6	Unknown	4641	46	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000283387/UP000283387_1261403.gene2acc.gz
Mariprofundales	Bacteria	UP000306585	2528639	Mariprofundus erugo	97.7	Unknown	2574	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000306585/UP000306585_2528639.gene2acc.gz
Mesoaciditogales	Bacteria	UP000463916	1441386	Athalassotoga saccharophila	87.2	Unknown	87	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000463916/UP000463916_1441386.gene2acc.gz
Methylacidiphilales	Bacteria	UP001161497	591154	Candidatus Methylacidiphilum fumarolicum	99.6	Unknown	2386	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001161497/UP001161497_591154.gene2acc.gz
Methylococcales	Bacteria	UP000004664	697282	Methylobacter tundripaludum (strain ATCC BAA-1195 / DSM 17260 / SV96)	99.5	Unknown	4194	42	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000004664/UP000004664_697282.gene2acc.gz
Methylohalomonadales	Bacteria	UP001204445	398773	Methylohalomonas lacus	98.1	Unknown	2630	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001204445/UP001204445_398773.gene2acc.gz
Micrococcales	Bacteria	UP001257147	121292	Pseudarthrobacter sulfonivorans	100.0	Unknown	4464	964	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001257147/UP001257147_121292.gene2acc.gz
Micromonosporales	Bacteria	UP000642748	556532	Rugosimonospora africana	100.0	Outlier (high value)	9862	235	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000642748/UP000642748_556532.gene2acc.gz
Micropepsales	Bacteria	UP000570514	189966	Rhizomicrobium palustre	98.1	Unknown	3834	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000570514/UP000570514_189966.gene2acc.gz
Minisyncoccales	Bacteria	UP001694467	3238481	Minisyncoccus archaeiphilus	59.7	Unknown	1278	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001694467/UP001694467_3238481.gene2acc.gz
Minwuiales	Bacteria	UP000229498	2056226	Minwuia thermotolerans	99.8	Unknown	4223	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000229498/UP000229498_2056226.gene2acc.gz
Monoglobales	Bacteria	UP000235589	1981510	Monoglobus pectinilyticus	99.2	Unknown	2258	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000235589/UP000235589_1981510.gene2acc.gz
Moraxellales	Bacteria	UP000244223	1077255	Agitococcus lubricus	99.5	Unknown	3309	155	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000244223/UP000244223_1077255.gene2acc.gz
Motilibacterales	Bacteria	UP000293638	598652	Motilibacter rhizosphaerae	99.7	Unknown	3963	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000293638/UP000293638_598652.gene2acc.gz
Mycobacteriales	Bacteria	UP000694257	204891	Nocardia iowensis	100.0	Unknown	8104	645	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000694257/UP000694257_204891.gene2acc.gz
Mycoplasmatales	Bacteria	UP000318927	519450	Mycoplasma anserisalpingitidis	100.0	Unknown	747	40	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000318927/UP000318927_519450.gene2acc.gz
Mycoplasmoidales	Bacteria	UP000006810	496833	Mycoplasmopsis fermentans (strain ATCC 19989 / NBRC 14854 / NCTC 10117 / PG18) (Mycoplasma fermentans)	100.0	Unknown	891	90	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000006810/UP000006810_496833.gene2acc.gz
Myxococcales	Bacteria	UP000183760	33	Myxococcus fulvus	99.2	Unknown	8570	47	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000183760/UP000183760_33.gene2acc.gz
Nakamurellales	Bacteria	UP000306985	2576308	Nakamurella flava	99.7	Unknown	4268	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000306985/UP000306985_2576308.gene2acc.gz
Nannocystales	Bacteria	UP001217838	2995305	Nannocystis radixulma	96.0	Unknown	9972	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001217838/UP001217838_2995305.gene2acc.gz
Nanosynbacterales	Bacteria	UP000310639	2572088	Candidatus Nanosynbacter featherlites	67.7	Unknown	749	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000310639/UP000310639_2572088.gene2acc.gz
Natranaerobiales	Bacteria	UP000001683	457570	Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)	96.0	Unknown	2847	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000001683/UP000001683_457570.gene2acc.gz
Natronospirales	Bacteria	UP001239019	3069753	Natronospira bacteriovora	98.9	Unknown	2659	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001239019/UP001239019_3069753.gene2acc.gz
Nautiliales	Bacteria	UP000192602	1069081	Nitratiruptor tergarcus DSM 16512	96.8	Unknown	1934	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000192602/UP000192602_1069081.gene2acc.gz
Neisseriales	Bacteria	UP000248395	332411	Aquitalea magnusonii	100.0	Unknown	4084	141	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000248395/UP000248395_332411.gene2acc.gz
Neomoorellales	Bacteria	UP001329915	3039180	Metallumcola ferriviriculae	98.8	Unknown	3485	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001329915/UP001329915_3039180.gene2acc.gz
Neosynechococcales	Bacteria	UP000030170	1497020	Neosynechococcus sphagnicola sy1	66.2	Unknown	2723	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000030170/UP000030170_1497020.gene2acc.gz
Nevskiales	Bacteria	UP000199771	1076937	Fontimonas thermophila	99.2	Unknown	2498	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199771/UP000199771_1076937.gene2acc.gz
Nitrosomonadales	Bacteria	UP000002742	583345	Methylotenera mobilis (strain JLW8 / ATCC BAA-1282 / DSM 17540)	100.0	Unknown	2334	71	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002742/UP000002742_583345.gene2acc.gz
Nitrospinales	Bacteria	UP001157733	1323948	Nitrospina watsonii	96.8	Unknown	2890	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001157733/UP001157733_1323948.gene2acc.gz
Nitrospirales	Bacteria	UP000248168	1436998	Nitrospira lenta	97.6	Unknown	3885	17	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000248168/UP000248168_1436998.gene2acc.gz
Nodosilineales	Bacteria	UP000010482	13035	Dactylococcopsis salina (strain PCC 8305) (Myxobactron salinum)	99.4	Unknown	3305	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000010482/UP000010482_13035.gene2acc.gz
Nostocales	Bacteria	UP000647273	2692894	Calothrix anomala FACHB-343	99.8	Unknown	7060	89	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000647273/UP000647273_2692894.gene2acc.gz
Oceanospirillales	Bacteria	UP000184517	1122206	Marinomonas polaris DSM 16579	100.0	Unknown	4598	307	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000184517/UP000184517_1122206.gene2acc.gz
Oculatellales	Bacteria	UP000505210	2737172	Thermoleptolyngbya sichuanensis A183	99.5	Unknown	4271	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000505210/UP000505210_2737172.gene2acc.gz
Oligoflexales	Bacteria	UP000192907	1513793	Pseudobacteriovorax antillogorgiicola	87.9	Unknown	6344	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000192907/UP000192907_1513793.gene2acc.gz
Oligosphaerales	Bacteria	UP001238163	760260	Oligosphaera ethanolica	80.6	Unknown	3975	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001238163/UP001238163_760260.gene2acc.gz
Opitutales	Bacteria	UP000007013	452637	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	99.8	Unknown	4588	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000007013/UP000007013_452637.gene2acc.gz
Orbales	Bacteria	UP001500171	1078475	Orbus sasakiae	98.1	Unknown	2579	12	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001500171/UP001500171_1078475.gene2acc.gz
Oscillatoriales	Bacteria	UP000010478	179408	Phormidium nigroviride PCC 7112	99.4	Unknown	6276	33	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000010478/UP000010478_179408.gene2acc.gz
Parachlamydiales	Bacteria	UP000069902	389348	Candidatus Protochlamydia naegleriophila	98.7	Unknown	2571	12	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000069902/UP000069902_389348.gene2acc.gz
Parvularculales	Bacteria	UP000818603	1566827	Aquisalinus luteolus	98.4	Unknown	3416	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000818603/UP000818603_1566827.gene2acc.gz
Pasteurellales	Bacteria	UP001224083	304289	Bisgaard Taxon 45	99.9	Unknown	2018	107	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001224083/UP001224083_304289.gene2acc.gz
Pedosphaerales	Bacteria	UP000003688	320771	Pedosphaera parvula (strain Ellin514)	95.8	Unknown	6492	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000003688/UP000003688_320771.gene2acc.gz
Peptostreptococcales	Bacteria	UP000190285	36842	Maledivibacter halophilus	100.0	Unknown	5301	93	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000190285/UP000190285_36842.gene2acc.gz
Petrotogales	Bacteria	UP000184334	1122195	Marinitoga hydrogenitolerans (strain DSM 16785 / JCM 12826 / AT1271)	97.6	Unknown	2212	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000184334/UP000184334_1122195.gene2acc.gz
Phototrophicales	Bacteria	UP000594468	2710758	Phototrophicus methaneseepsis	90.8	Unknown	4799	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000594468/UP000594468_2710758.gene2acc.gz
Phycisphaerales	Bacteria	UP000541810	1385975	Algisphaera agarilytica	81.1	Unknown	3555	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000541810/UP000541810_1385975.gene2acc.gz
Pirellulales	Bacteria	UP001500840	1031540	Novipirellula rosea	99.6	Unknown	7170	70	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001500840/UP001500840_1031540.gene2acc.gz
Planctomycetales	Bacteria	UP001698232	2724528	Crateriforma spongiae	99.6	Unknown	5345	29	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001698232/UP001698232_2724528.gene2acc.gz
Pleurocapsales	Bacteria	UP000186868	1921803	Hydrococcus rivularis NIES-593	99.6	Unknown	4391	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000186868/UP000186868_1921803.gene2acc.gz
Polyangiales	Bacteria	UP000064967	1391654	Labilithrix luteola	95.2	Unknown	11481	12	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000064967/UP000064967_1391654.gene2acc.gz
Prochlorotrichales	Bacteria	UP000034681	317619	Prochlorothrix hollandica PCC 9006 = CALU 1027	91.1	Unknown	3617	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000034681/UP000034681_317619.gene2acc.gz
Propionibacteriales	Bacteria	UP000582231	349522	Nocardioides kongjuensis	100.0	Unknown	5434	259	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000582231/UP000582231_349522.gene2acc.gz
Pseudanabaenales	Bacteria	UP001604335	3112953	Limnothrix redekei LRLZ20PSL1	98.3	Unknown	3653	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001604335/UP001604335_3112953.gene2acc.gz
Pseudomonadales	Bacteria	UP000018725	3240790	Pseudomonas gorinensis	100.0	Unknown	6297	496	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000018725/UP000018725_3240790.gene2acc.gz
Pseudonocardiales	Bacteria	UP001519332	1365924	Kibdelosporangium banguiense	100.0	Unknown	11655	285	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001519332/UP001519332_1365924.gene2acc.gz
Puniceicoccales	Bacteria	UP000000925	583355	Coraliomargarita akajimensis (strain DSM 45221 / IAM 15411 / JCM 23193 / KCTC 12865 / 04OKA010-24)	99.6	Unknown	3110	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000925/UP000000925_583355.gene2acc.gz
Rhodobacterales	Bacteria	UP000220836	696760	Pelagimonas varians	100.0	Unknown	4735	607	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000220836/UP000220836_696760.gene2acc.gz
Rhodocyclales	Bacteria	UP000663570	2811415	Niveibacterium microcysteis	99.8	Unknown	4302	65	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000663570/UP000663570_2811415.gene2acc.gz
Rhodospirillales	Bacteria	UP000324927	193	Azospirillum lipoferum	100.0	Unknown	6901	131	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000324927/UP000324927_193.gene2acc.gz
Rhodothalassiales	Bacteria	UP000295399	1188247	Rhodothalassium salexigens DSM 2132	99.5	Unknown	2870	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000295399/UP000295399_1188247.gene2acc.gz
Rhodothermales	Bacteria	UP000220102	1850348	Longibacter salinarum	88.1	Unknown	3409	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000220102/UP000220102_1850348.gene2acc.gz
Rickettsiales	Bacteria	UP000000796	452659	Rickettsia rickettsii (strain Iowa)	100.0	Unknown	1384	71	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000796/UP000000796_452659.gene2acc.gz
Rubrobacterales	Bacteria	UP000006637	266117	Rubrobacter xylanophilus (strain DSM 9941 / JCM 11954 / NBRC 16129 / PRD-1)	66.9	Unknown	3127	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000006637/UP000006637_266117.gene2acc.gz
Salinisphaerales	Bacteria	UP001595462	2094031	Salinisphaera aquimarina	98.9	Unknown	4094	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001595462/UP001595462_2094031.gene2acc.gz
Saprospirales	Bacteria	UP000321580	1564516	Phaeodactylibacter luteus	97.8	Unknown	4366	17	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000321580/UP000321580_1564516.gene2acc.gz
Sedimentisphaerales	Bacteria	UP001431776	3044600	Anaerobaca lacustris	72.2	Unknown	4521	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001431776/UP001431776_3044600.gene2acc.gz
Selenomonadales	Bacteria	UP000004067	888060	Centipeda periodontii DSM 2778	99.7	Unknown	2630	47	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000004067/UP000004067_888060.gene2acc.gz
Silvanigrellales	Bacteria	UP000291236	2493639	Fluviispira sanaruensis	84.7	Unknown	3167	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000291236/UP000291236_2493639.gene2acc.gz
Sneathiellales	Bacteria	UP000445696	1418234	Sneathiella chungangensis	100.0	Unknown	3650	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000445696/UP000445696_1418234.gene2acc.gz
Solirubrobacterales	Bacteria	UP001147700	2282478	Solirubrobacter deserti	73.0	Unknown	6752	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001147700/UP001147700_2282478.gene2acc.gz
Sphaerobacterales	Bacteria	UP000002027	479434	Sphaerobacter thermophilus (strain ATCC 49802 / DSM 20745 / KCCM 41009 / NCIMB 13125 / S 6022)	93.5	Unknown	3471	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002027/UP000002027_479434.gene2acc.gz
Sphingobacteriales	Bacteria	UP000286246	1145106	Sphingobacterium detergens	99.9	Close to standard (high value)	5612	225	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000286246/UP000286246_1145106.gene2acc.gz
Sphingomonadales	Bacteria	UP000283469	2304063	Sphingobium terrigena	100.0	Unknown	4670	433	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000283469/UP000283469_2304063.gene2acc.gz
Spirochaetales	Bacteria	UP001304851	478174	Borreliella carolinensis	100.0	Unknown	1391	56	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001304851/UP001304851_478174.gene2acc.gz
Spirulinales	Bacteria	UP000654482	945747	Lusitaniella coriacea LEGE 07157	99.6	Unknown	4954	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000654482/UP000654482_945747.gene2acc.gz
Sporichthyales	Bacteria	UP000463857	1891644	Epidermidibacterium keratini	99.7	Unknown	3736	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000463857/UP000463857_1891644.gene2acc.gz
Steroidobacterales	Bacteria	UP000661077	2805490	Steroidobacter gossypii	98.4	Unknown	5853	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000661077/UP000661077_2805490.gene2acc.gz
Streptosporangiales	Bacteria	UP001589647	46182	Nonomuraea spiralis	99.7	Unknown	10612	262	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001589647/UP001589647_46182.gene2acc.gz
Synechococcales	Bacteria	UP000889800	1140	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	99.7	Unknown	2657	21	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000889800/UP000889800_1140.gene2acc.gz
Synergistales	Bacteria	UP001205919	508460	Cloacibacillus evryensis	99.8	Unknown	3063	23	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001205919/UP001205919_508460.gene2acc.gz
Syntrophales	Bacteria	UP001675677	43774	Syntrophus buswellii	97.6	Unknown	2822	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001675677/UP001675677_43774.gene2acc.gz
Syntrophobacterales	Bacteria	UP000001784	335543	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)	96.8	Unknown	4012	7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000001784/UP000001784_335543.gene2acc.gz
Tepidiformales	Bacteria	UP000223071	2761530	Tepidiforma thermophila	93.0	Unknown	2626	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000223071/UP000223071_2761530.gene2acc.gz
