family	domain	upid	taxid	organism	busco_C	cpd	protein_count	n_candidates	gene2acc_url
Capsulimonadaceae	Bacteria	UP000287394	2219043	Capsulimonas corticalis	95.2	Unknown	6592	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000287394/UP000287394_2219043.gene2acc.gz
Carbonactinosporaceae	Bacteria	UP000070188	1469144	Carbonactinospora thermoautotrophica	69.0	Unknown	4356	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000070188/UP000070188_1469144.gene2acc.gz
Cardiobacteriaceae	Bacteria	UP000254575	13276	Suttonella indologenes	94.0	Unknown	2313	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000254575/UP000254575_13276.gene2acc.gz
Carnobacteriaceae	Bacteria	UP001597285	2126436	Carnobacterium antarcticum	100.0	Close to standard (low value)	2330	41	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001597285/UP001597285_2126436.gene2acc.gz
Caryophanaceae	Bacteria	UP000037109	1459	Sporosarcina globispora (Bacillus globisporus)	100.0	Unknown	5125	106	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000037109/UP000037109_1459.gene2acc.gz
Caryophanales Family X. Incertae Sedis	Bacteria	UP000243024	1484	Hydrogenibacillus schlegelii (Bacillus schlegelii)	78.9	Unknown	2254	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000243024/UP000243024_1484.gene2acc.gz
Catalimonadaceae	Bacteria	UP000198510	1075417	Catalinimonas alkaloidigena	98.8	Unknown	5672	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000198510/UP000198510_1075417.gene2acc.gz
Catenulisporaceae	Bacteria	UP000000851	479433	Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908)	100.0	Unknown	8909	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000851/UP000000851_479433.gene2acc.gz
Caulobacteraceae	Bacteria	UP000013063	1292034	Caulobacter vibrioides OR37	99.8	Unknown	4074	72	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000013063/UP000013063_1292034.gene2acc.gz
Celerinatantimonadaceae	Bacteria	UP001629953	559956	Celerinatantimonas yamalensis	100.0	Unknown	3537	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001629953/UP001629953_559956.gene2acc.gz
Cellulomonadaceae	Bacteria	UP000655570	2762227	Oerskovia merdavium	99.8	Unknown	3838	58	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000655570/UP000655570_2762227.gene2acc.gz
Cellulosilyticaceae	Bacteria	UP001169242	3018743	Holtiella tumoricola	99.6	Unknown	4373	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001169242/UP001169242_3018743.gene2acc.gz
Cellvibrionaceae	Bacteria	UP001595548	1796469	Gilvimarinus japonicus	99.8	Unknown	3491	25	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001595548/UP001595548_1796469.gene2acc.gz
Cerasicoccaceae	Bacteria	UP000546464	1804625	Ruficoccus amylovorans	98.5	Unknown	3722	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000546464/UP000546464_1804625.gene2acc.gz
Cesiribacteraceae	Bacteria	UP000011910	1279009	Cesiribacter andamanensis AMV16	90.6	Unknown	4225	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000011910/UP000011910_1279009.gene2acc.gz
Chamaesiphonaceae	Bacteria	UP000010366	1173020	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	97.8	Unknown	5815	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000010366/UP000010366_1173020.gene2acc.gz
Chelatococcaceae	Bacteria	UP001321492	3047466	Chelatococcus albus	100.0	Unknown	3658	13	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001321492/UP001321492_3047466.gene2acc.gz
Chitinibacteraceae	Bacteria	UP000809431	613195	Jeongeupia naejangsanensis	99.9	Unknown	3736	29	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000809431/UP000809431_613195.gene2acc.gz
Chitinivibrionaceae	Bacteria	UP000017148	1313304	Chitinivibrio alkaliphilus ACht1	85.5	Unknown	2304	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000017148/UP000017148_1313304.gene2acc.gz
Chitinophagaceae	Bacteria	UP000293874	661488	Pseudobacter ginsenosidimutans	99.5	Unknown	6020	117	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000293874/UP000293874_661488.gene2acc.gz
Chlamydiaceae	Bacteria	UP000258476	1967783	Chlamydia poikilotherma	100.0	Unknown	981	19	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000258476/UP000258476_1967783.gene2acc.gz
Chloracidobacteriaceae	Bacteria	UP000677668	2821540	Chloracidobacterium sp. N	90.8	Unknown	2993	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000677668/UP000677668_2821540.gene2acc.gz
Chlorobiaceae	Bacteria	UP000008701	290317	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	99.8	Unknown	2579	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000008701/UP000008701_290317.gene2acc.gz
Chloroflexaceae	Bacteria	UP000002508	326427	Chloroflexus aggregans (strain MD-66 / DSM 9485)	99.6	Unknown	3725	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002508/UP000002508_326427.gene2acc.gz
Chlorogloeopsidaceae	Bacteria	UP000268857	211165	Chlorogloeopsis fritschii PCC 6912	98.8	Unknown	6594	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000268857/UP000268857_211165.gene2acc.gz
Chloroherpetonaceae	Bacteria	UP000001208	517418	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	84.7	Unknown	2708	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000001208/UP000001208_517418.gene2acc.gz
Christensenellaceae	Bacteria	UP000654279	2763654	Luoshenia tenuis	98.8	Unknown	2408	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000654279/UP000654279_2763654.gene2acc.gz
Chromatiaceae	Bacteria	UP000483379	57489	Thiorhodococcus minor	99.8	Unknown	5194	57	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000483379/UP000483379_57489.gene2acc.gz
Chromobacteriaceae	Bacteria	UP000248395	332411	Aquitalea magnusonii	100.0	Unknown	4084	36	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000248395/UP000248395_332411.gene2acc.gz
Chroococcaceae	Bacteria	UP000185984	247279	Chroogloeocystis siderophila 5.2 s.c.1	97.9	Unknown	4269	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000185984/UP000185984_247279.gene2acc.gz
Chroococcidiopsidaceae	Bacteria	UP000010384	251229	Chroococcidiopsis thermalis (strain PCC 7203)	99.5	Unknown	5740	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000010384/UP000010384_251229.gene2acc.gz
Chryseotaleaceae	Bacteria	UP001319080	2782350	Dawidia cretensis	98.3	Unknown	6072	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001319080/UP001319080_2782350.gene2acc.gz
Chrysiogenaceae	Bacteria	UP000002572	653733	Desulfurispirillum indicum (strain ATCC BAA-1389 / DSM 22839 / S5)	97.6	Unknown	2551	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002572/UP000002572_653733.gene2acc.gz
Chthoniobacteraceae	Bacteria	UP000005824	497964	Chthoniobacter flavus Ellin428	93.0	Unknown	6705	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000005824/UP000005824_497964.gene2acc.gz
Chthonomonadaceae	Bacteria	UP000014227	1303518	Chthonomonas calidirosea (strain DSM 23976 / ICMP 18418 / T49)	93.5	Unknown	2809	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000014227/UP000014227_1303518.gene2acc.gz
Clostridiaceae	Bacteria	UP000011728	931276	Clostridium saccharoperbutylacetonicum N1-4(HMT)	100.0	Unknown	5810	166	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000011728/UP000011728_931276.gene2acc.gz
Clostridiales Family XVI. Incertae Sedis	Bacteria	UP000241323	178899	Carboxydocella thermautotrophica	96.6	Unknown	2669	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000241323/UP000241323_178899.gene2acc.gz
Clostridiales Family XVII. Incertae Sedis	Bacteria	UP000008915	644966	Thermaerobacter marianensis (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)	85.6	Unknown	2324	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000008915/UP000008915_644966.gene2acc.gz
Cohaesibacteraceae	Bacteria	UP000219439	372072	Cohaesibacter gelatinilyticus	98.7	Unknown	4776	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000219439/UP000219439_372072.gene2acc.gz
Coleofasciculaceae	Bacteria	UP000010471	1173027	Allocoleopsis franciscana PCC 7113	99.6	Unknown	6397	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000010471/UP000010471_1173027.gene2acc.gz
Colwelliaceae	Bacteria	UP000029843	28229	Colwellia psychrerythraea (Vibrio psychroerythus)	99.5	Unknown	4374	31	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000029843/UP000029843_28229.gene2acc.gz
Comamonadaceae	Bacteria	UP001231798	3053516	Variovorax saccharolyticus	100.0	Close to standard (high value)	7621	187	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001231798/UP001231798_3053516.gene2acc.gz
Conexibacteraceae	Bacteria	UP000585272	912552	Conexibacter arvalis	70.8	Unknown	4864	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000585272/UP000585272_912552.gene2acc.gz
Coprobacillaceae	Bacteria	UP000295515	1796628	Longibaculum muris	95.9	Unknown	3164	14	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000295515/UP000295515_1796628.gene2acc.gz
Coprothermobacteraceae	Bacteria	UP000001732	309798	Coprothermobacter proteolyticus (strain ATCC 35245 / DSM 5265 / OCM 4 / BT)	82.3	Unknown	1481	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000001732/UP000001732_309798.gene2acc.gz
Coraliomargaritaceae	Bacteria	UP000000925	583355	Coraliomargarita akajimensis (strain DSM 45221 / IAM 15411 / JCM 23193 / KCTC 12865 / 04OKA010-24)	99.6	Unknown	3110	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000925/UP000000925_583355.gene2acc.gz
Coriobacteriaceae	Bacteria	UP000004830	742742	Collinsella tanakaei YIT 12063	99.8	Unknown	2204	15	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000004830/UP000004830_742742.gene2acc.gz
Corynebacteriaceae	Bacteria	UP000193309	1610489	Corynebacterium pollutisoli	100.0	Unknown	2429	159	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000193309/UP000193309_1610489.gene2acc.gz
Coxiellaceae	Bacteria	UP000002671	227377	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	86.3	Unknown	1812	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002671/UP000002671_227377.gene2acc.gz
Crenotrichaceae	Bacteria	UP000195667	360316	Crenothrix polyspora	96.7	Unknown	3943	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000195667/UP000195667_360316.gene2acc.gz
Crocinitomicaceae	Bacteria	UP000316008	2597671	Fluviicola chungangensis	92.9	Unknown	3664	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000316008/UP000316008_2597671.gene2acc.gz
Cryomorphaceae	Bacteria	UP000486602	101383	Cryomorpha ignava	93.5	Unknown	4047	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000486602/UP000486602_101383.gene2acc.gz
Cryptosporangiaceae	Bacteria	UP000184440	134849	Cryptosporangium aurantiacum	99.7	Unknown	8789	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000184440/UP000184440_134849.gene2acc.gz
Culicoidibacteraceae	Bacteria	UP000306912	2579976	Culicoidibacter larvae	97.2	Unknown	2363	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000306912/UP000306912_2579976.gene2acc.gz
Cyclobacteriaceae	Bacteria	UP000256405	238540	Algoriphagus antarcticus	100.0	Unknown	5053	75	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000256405/UP000256405_238540.gene2acc.gz
Cyclonatronaceae	Bacteria	UP000673975	2812953	Natronogracilivirga saccharolytica	88.1	Unknown	3004	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000673975/UP000673975_2812953.gene2acc.gz
Cymatolegaceae	Bacteria	UP000010482	13035	Dactylococcopsis salina (strain PCC 8305) (Myxobactron salinum)	99.4	Unknown	3305	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000010482/UP000010482_13035.gene2acc.gz
Cytophagaceae	Bacteria	UP000464577	2666025	Spirosoma endbachense	100.0	Unknown	8127	32	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000464577/UP000464577_2666025.gene2acc.gz
Deferribacteraceae	Bacteria	UP000322876	500465	Deferribacter autotrophicus	96.0	Unknown	2399	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000322876/UP000322876_500465.gene2acc.gz
Defluviitaleaceae	Bacteria	UP000483018	1450156	Defluviitalea raffinosedens	100.0	Unknown	2804	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000483018/UP000483018_1450156.gene2acc.gz
Dehalococcoidaceae	Bacteria	UP001375370	3127115	Candidatus Dehalogenimonas loeffleri	99.6	Unknown	1762	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001375370/UP001375370_3127115.gene2acc.gz
Deinococcaceae	Bacteria	UP001595748	1298767	Deinococcus antarcticus	91.9	Unknown	4079	76	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001595748/UP001595748_1298767.gene2acc.gz
Demequinaceae	Bacteria	UP000183315	1043493	Demequina mangrovi	97.6	Unknown	2745	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000183315/UP000183315_1043493.gene2acc.gz
Dermabacteraceae	Bacteria	UP001595937	47848	Brachybacterium tyrofermentans	98.5	Unknown	3839	27	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001595937/UP001595937_47848.gene2acc.gz
Dermacoccaceae	Bacteria	UP000320806	587872	Yimella lutea	99.4	Unknown	3251	22	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000320806/UP000320806_587872.gene2acc.gz
Dermatophilaceae	Bacteria	UP000004367	1089455	Mobilicoccus pelagius NBRC 104925	97.8	Unknown	3112	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000004367/UP000004367_1089455.gene2acc.gz
Dermocarpellaceae	Bacteria	UP000010473	111780	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	99.4	Unknown	4751	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000010473/UP000010473_111780.gene2acc.gz
Desertifilaceae	Bacteria	UP000095472	1781255	Desertifilum tharense IPPAS B-1220	99.5	Unknown	5099	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000095472/UP000095472_1781255.gene2acc.gz
Desulfallaceae	Bacteria	UP000013520	767817	Desulfoscipio gibsoniae DSM 7213	97.3	Unknown	4313	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000013520/UP000013520_767817.gene2acc.gz
Desulfarculaceae	Bacteria	UP000032233	1429043	Dethiosulfatarculus sandiegensis	96.8	Unknown	5388	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000032233/UP000032233_1429043.gene2acc.gz
Desulfatibacillaceae	Bacteria	UP000183994	1121393	Desulfatibacillum alkenivorans DSM 16219	98.7	Unknown	5221	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000183994/UP000183994_1121393.gene2acc.gz
Desulfitibacteraceae	Bacteria	UP001329915	3039180	Metallumcola ferriviriculae	98.8	Unknown	3485	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001329915/UP001329915_3039180.gene2acc.gz
Desulfitobacteriaceae	Bacteria	UP000184010	1121395	Desulfitobacterium chlororespirans DSM 11544	100.0	Unknown	5277	19	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000184010/UP000184010_1121395.gene2acc.gz
Desulfobaccaceae	Bacteria	UP000000483	880072	Desulfobacca acetoxidans (strain ATCC 700848 / DSM 11109 / ASRB2)	95.2	Unknown	2859	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000000483/UP000000483_880072.gene2acc.gz
Desulfobacteraceae	Bacteria	UP000005778	879212	Desulfobacter postgatei 2ac9	99.5	Unknown	3396	12	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000005778/UP000005778_879212.gene2acc.gz
Desulfobulbaceae	Bacteria	UP000001508	589865	Desulfurivibrio alkaliphilus (strain DSM 19089 / UNIQEM U267 / AHT2)	96.0	Unknown	2595	12	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000001508/UP000001508_589865.gene2acc.gz
Desulfocapsaceae	Bacteria	UP000199073	91360	Desulforhopalus singaporensis	95.2	Unknown	4348	7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199073/UP000199073_91360.gene2acc.gz
Desulfococcaceae	Bacteria	UP000014977	1121405	Desulfococcus multivorans DSM 2059	97.2	Unknown	3844	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000014977/UP000014977_1121405.gene2acc.gz
Desulfocucumaceae	Bacteria	UP000239549	1898651	Desulfocucumis palustris	79.5	Unknown	3959	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000239549/UP000239549_1898651.gene2acc.gz
Desulfohalobiaceae	Bacteria	UP000001052	485915	Desulfohalobium retbaense (strain ATCC 49708 / DSM 5692 / JCM 16813 / HR100)	96.1	Unknown	2500	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000001052/UP000001052_485915.gene2acc.gz
Desulfolunaceae	Bacteria	UP000198870	419481	Desulfoluna spongiiphila	96.3	Unknown	5238	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000198870/UP000198870_419481.gene2acc.gz
Desulfomicrobiaceae	Bacteria	UP000002216	525897	Desulfomicrobium baculatum (strain DSM 4028 / VKM B-1378 / X) (Desulfovibrio baculatus)	99.0	Unknown	3421	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000002216/UP000002216_525897.gene2acc.gz
Desulfomonilaceae	Bacteria	UP000006055	706587	Desulfomonile tiedjei (strain ATCC 49306 / DSM 6799 / DCB-1)	92.7	Unknown	5412	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000006055/UP000006055_706587.gene2acc.gz
Desulfonatronaceae	Bacteria	UP000198771	617002	Desulfonatronum thiosulfatophilum	97.8	Unknown	3184	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000198771/UP000198771_617002.gene2acc.gz
Desulfonatronovibrionaceae	Bacteria	UP000005496	555779	Desulfonatronospira thiodismutans ASO3-1	96.4	Unknown	3577	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000005496/UP000005496_555779.gene2acc.gz
Desulfonauticaceae	Bacteria	UP000199602	206665	Desulfonauticus submarinus	94.6	Unknown	2044	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199602/UP000199602_206665.gene2acc.gz
Desulfoplanaceae	Bacteria	UP000095200	1592317	Desulfoplanes formicivorans	95.4	Unknown	2657	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000095200/UP000095200_1592317.gene2acc.gz
Desulforudaceae	Bacteria	UP000008544	477974	Desulforudis audaxviator (strain MP104C)	95.8	Unknown	2136	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000008544/UP000008544_477974.gene2acc.gz
Desulfosalsimonadaceae	Bacteria	UP000525298	332175	Desulfosalsimonas propionicica	95.2	Unknown	3581	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000525298/UP000525298_332175.gene2acc.gz
Desulfosarcinaceae	Bacteria	UP000427906	571177	Desulfosarcina alkanivorans	98.0	Unknown	6430	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000427906/UP000427906_571177.gene2acc.gz
Desulfosudaceae	Bacteria	UP000008561	96561	Desulfosudis oleivorans (strain DSM 6200 / JCM 39069 / Hxd3) (Desulfococcus oleovorans)	96.5	Unknown	3255	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000008561/UP000008561_96561.gene2acc.gz
Desulfotomaculaceae	Bacteria	UP000009226	868595	Desulfotomaculum nigrificans (strain DSM 14880 / VKM B-2319 / CO-1-SRB) (Desulfotomaculum carboxydivorans)	98.1	Unknown	2620	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000009226/UP000009226_868595.gene2acc.gz
Desulfovibrionaceae	Bacteria	UP000192906	1519643	Desulfovibrio gilichinskyi	100.0	Unknown	3528	58	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000192906/UP000192906_1519643.gene2acc.gz
Desulfurellaceae	Bacteria	UP000199411	79269	Desulfurella multipotens	43.7	Unknown	1818	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000199411/UP000199411_79269.gene2acc.gz
Desulfuribacillaceae	Bacteria	UP000095255	1390249	Desulfuribacillus stibiiarsenatis	99.1	Unknown	2918	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000095255/UP000095255_1390249.gene2acc.gz
Desulfurobacteriaceae	Bacteria	UP000006362	648996	Thermovibrio ammonificans (strain DSM 15698 / JCM 12110 / HB-1)	99.5	Unknown	1812	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000006362/UP000006362_648996.gene2acc.gz
Desulfuromonadaceae	Bacteria	UP001319827	2802975	Desulfuromonas versatilis	99.4	Unknown	4102	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001319827/UP001319827_2802975.gene2acc.gz
Dethiobacteraceae	Bacteria	UP000006443	555088	Dethiobacter alkaliphilus AHT 1	94.0	Unknown	3162	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000006443/UP000006443_555088.gene2acc.gz
Dethiosulfovibrionaceae	Bacteria	UP000006427	469381	Dethiosulfovibrio peptidovorans DSM 11002	99.4	Unknown	2432	7	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000006427/UP000006427_469381.gene2acc.gz
Devosiaceae	Bacteria	UP001156691	2071872	Devosia nitrariae	97.7	Unknown	5460	46	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001156691/UP001156691_2071872.gene2acc.gz
Dictyobacteraceae	Bacteria	UP001344906	3026934	Dictyobacter halimunensis	94.5	Unknown	7948	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP001344906/UP001344906_3026934.gene2acc.gz
Dictyoglomaceae	Bacteria	UP000007719	515635	Dictyoglomus turgidum (strain DSM 6724 / Z-1310)	92.7	Unknown	1743	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000007719/UP000007719_515635.gene2acc.gz
Dietziaceae	Bacteria	UP000315460	498198	Dietzia kunjamensis subsp. schimae	97.8	Unknown	3353	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Bacteria/UP000315460/UP000315460_498198.gene2acc.gz
